text;author;publishedAt
Pengalaman saya dari pertama beli emas fisik yang saya alami  beli emas fisik ada jasa upahnya kedua kalau pas kita kepepet kita jual harga nya turun jauh dari harga beli, saya faham kalau bli emas untuk infestasi harus butuh waktu lama baru untung. Dan di tahun 2024 saya memulai dengan membeli emas digital awal beli 1gram di harga rp 1,4juta Dan saya pantau pergerakan emas setiap hari naik dan saya membeli stiap minggu stelah 2 bulan saya profit dari modal 2,8 menjadi 3,4juta. Saya pun coba mengambil keuntungan dengan menjual emas yang saya beli, ternyata ga ada sama sekli potongan. Dan dari itu saya memutuskan untuk inves ke emas digital. Sampai skrg dari bulan 9 2025 dan kini 2026 bulan 1 modal 8,9juta jadi 13,6juta dalam waktu 4 bulan saya profit 4juta 700 ribu 😊;@liberthadewii6142;2026-01-20T19:26:06Z
Saya Dari nabung 100rb sekarang sdh punya 13 gram di pegadaian;@martinuspangaribuan3995;2026-01-20T16:09:05Z
Udah paling aman, nabung emas di pegadaian;@Junarta07;2026-01-20T14:27:06Z
Mohon sarannya, aplikasi apa yg keamanan terjamin untuk investasi emas digital? 🙏;@damiance7072;2026-01-20T11:14:49Z
Sempat nabung di pegadaian sblm pandemi covid...sisa 0.6 gram.<br>Vakum sampai 2025...kirain udah hangus.aku download aplikasi Tring ternyata saldo gramnya utuh,nominal rupiah jadi 1,2 JT dari awal nabung rupiah sktr 380rb...❤;@AgusBudiman-q6r;2026-01-20T04:46:33Z
Kalaw emas digital kalaw kita butuh kita bisa jual senilai kebutuhan saja, misal punya emas 10gram kita bisa jual 2gram 3gram berapapun itu, kalaw punya emas fisik 10gram kita btuh gk senilai jumalah 10gram jual emasnya mau gk mau jual 10gram 1keping itu;@DianAlamsyah;2026-01-20T02:19:27Z
Puji Tuhan Yesus ud beli emas digital di pegadaian untuk di tabung.. aman..❤❤;@kamfrettos9716;2026-01-19T11:03:25Z
Emas ghoib gak ada bendanya😅klo listrik di muka bumi lenyap😂😂menagislah kalian;@liminmua9148;2026-01-19T07:57:11Z
udah sejak lama, kebetulan main ke pegadaian, mau gadai motor (cuma buat numpang nyimpen aja biar aman) ada tv yg nayangin iklan emas pegadaian, isinya seorang ayah yg nabung emas untuk anaknya kuliah dan nerangin harga emas itu selalu naik, sejak saat itu nabung dan g kecewa hasilnya;@whatyoulookingat_11;2026-01-18T15:55:15Z
Saya lebih suka nabung emas dibrimo;@JihanCell-n7u;2026-01-17T04:15:05Z
Nabung emas digital di Pegadaian udah berjalan 2 tahun ... Alhmdulillah aman dan tambah cuan 👍;@sangkelatalquds9227;2026-01-14T22:35:56Z
Mas Bambang paling terpercaya..;@nugrohoarwan6900;2026-01-14T11:17:24Z
Bang Kalau yang ada di Aplikasi Brimo Gimana bang. Bisa di jadikan fisik apa tidak???;@stenlykufla8546;2026-01-14T07:54:42Z
Kadang yang bikin ragu2 , digital bisa dikontrol pemilik web atau aplikasi ...;@PKBMGAJAHMUNGKURWONOGIRI;2026-01-13T05:00:55Z
Makasih sudah di edukasi;@cellistaiueo;2026-01-10T01:36:16Z
Listrik dan koneksi adalah Kunci...;@kasamago;2026-01-09T06:38:31Z
Emas digital udah paling bener..<br>Gk ribet nyimpen nya, kalo fisik resiko hilang,. Harus punya brangkas yg bagus biar aman.<br>Krna rumah masih ngontrak udh paling bener digital aja.<br>Gw nabung emas di pegadaian udah dari 2022.<br>Sampe detik ini alhamdulillah aman-aman saja, mulai nabung dulu masih 1jutaan.<br>Sekarang sudah 2,3 jutaan.<br>Alhamdulillah sudah 47gram<br>Target pertama sampe 100gram, untuk biaya sekolah anak nantinya dan dana pensiun pribadi;@fansyaelfirantama2870;2026-01-08T14:00:14Z
Kalo saya untuk Alesan beli emas di digital nya saya beli dengan harga yg lagi lagi Tpi daya jual nya lagi turun saya berharap nya untuk kesepian nya harga jual nya semakin naik😅;@MasReno-c1y;2026-01-07T11:03:52Z
BANG KLW BELI EMAS DI GITAL PAS UNTUNG DIKIT TRUS  DI AMBIL LABANYA BAIK GK , APA MENING DI BIARIN TAR KLW LABA BESAR BARU JUAL SEMUA;@RumahTasik-k4m;2026-01-07T09:21:55Z
Beli emas digital di Aplikasi Dana cepat dan praktis;@FartinMeharna;2026-01-02T18:24:49Z
Maaf bang kalau dana gimana bang;@adjikautzar244;2026-01-01T05:03:29Z
Gimana klu beli emas di dana? Apakah aman?;@BlackAnt-76;2025-12-29T12:07:23Z
kalo treasure aman gak ko;@WONG_MUMET96;2025-12-27T15:47:41Z
Pengalaman gw investasi emas di Pegadaian aman. Pencariannya juga gak sulit kok. Cuma ya pertimbangin aja dengan biaya2 adminnya + minimal saldo mengendap. Selama ga sering2 diganggu, emas digital aman aja imho buat tabungan yg tahan inflasi.;@kepperbeegames;2025-12-27T09:34:49Z
Penjelasanya bagus auto sub;@boseasep7505;2025-12-27T03:11:10Z
y saya jg mu mas d gital cma kepikir nabung mas sekrng cba lgy dri 2015 udh bnyk;@UinBajil;2025-12-26T16:45:40Z
Apakah indogold aman ?;@YareYare-by7eh;2025-12-22T22:47:58Z
Dana gimna;@muhammadahmadarifin7649;2025-12-22T06:41:29Z
"Mohon bantuannya komandan, kami adalah salah 1 dr sekian banyak ribuan korban penipuan investasi NOAH(dulunya bernama NITG). Kontrak kami disuruh menunggu 135 hari, sampai sekarang belum dibayarkan.<br><br><a href=""http://www.youtube.com/results?search_query=%23trendingtopic"">#Trendingtopic</a><br><a href=""http://www.youtube.com/results?search_query=%23penipuannoah"">#penipuanNOAH</a> <br><a href=""http://www.youtube.com/results?search_query=%23ojktindaknoah"">#OJKtindakNOAH</a><br><a href=""http://www.youtube.com/results?search_query=%23dindinsaepudinpenipunoah"">#DindinSaepudinPenipuNOAH</a><br><a href=""http://www.youtube.com/results?search_query=%23edisuwandikomisiarisnoah"">#EdiSuwandiKomisiarisNOAH</a><br><a href=""http://www.youtube.com/results?search_query=%23dindinsaepudinextukanglelepenipu"">#DindinSaepudinExTukangLelePenipu</a><br><a href=""http://www.youtube.com/results?search_query=%23noahadalahnitg"">#NOAHadalahNITG</a><br><a href=""http://www.youtube.com/results?search_query=%23scamnoahinvestasibodongojk"">#scamNOAHinvestasiBodongOJK</a><br><a href=""http://www.youtube.com/results?search_query=%23noviralnojusticeojk"">#NoViralNoJusticeOJK</a><br><a href=""http://www.youtube.com/results?search_query=%23ojkkamikorbannoah"">#OJKkamiKorbanNOAH</a><br> <a href=""http://www.youtube.com/results?search_query=%23komdigistopbisnisponzi"">#KomdigiStopBisnisPonzi</a><br><a href=""http://www.youtube.com/results?search_query=%23bekukanmoneygameojk"">#BekukanMoneyGameOJK</a><br> <a href=""http://www.youtube.com/results?search_query=%23pakprabowotindaknoahpak"">#PakPrabowoTindakNOAHpak</a><br><a href=""http://www.youtube.com/results?search_query=%23noahgagalbayar135"">#noahgagalbayar135</a><br><a href=""http://www.youtube.com/results?search_query=%23satgaspasti"">#satgaspasti</a>";@yasuiebloser6844;2025-12-20T16:12:18Z
Emas di dana aman gak?;@JonathanMarino-e9f;2025-12-20T10:11:14Z
Di dana cetak emas minimal 0,5gr;@nurfitriasofi18;2025-12-18T15:01:25Z
Baru beli segram udah di ambil lagibahahah;@orihandani3646;2025-12-16T23:32:59Z
beli emas digital di dana tahun lalu. pas beli 1,4. sekarang 2,4.;@Raizsatria-c7y;2025-12-15T08:50:55Z
Klw saya nabung emasnya d aplikasi brimo;@bubucat231;2025-12-15T04:21:47Z
Alasan tidak direkomendasikan membeli emas dan perak etf, 1.jika sistem runtuh semua akan bergantung ke aset riil. Dan mereka yg mengelola asset etf tidak akan memberikan emas fisikmu, 2. Jika tidak ada holder fisik, maka harga emas dan perak akan sangat volatil, karena ada banyak kepentingan yg memanipulasi harga dg praktik spoofing dan short selling, asset yg bagus itu yg likuid namun tidak terlalu likuid, menjual hanya dengan menekan tombol Itu terlalu liquid seringkali menyebabkan harga tidak stabil, sedangkan datang ke toko logam mulia untuk melakukan penjualan itu likuiditas yang sehat.;@Nuriaini-z7q;2025-12-09T22:17:28Z
Om kalo ada orang ..ngajak bisnis emas digital tapi saya tidak mengerti apa apa ...apa yg harus saya lakukan;@saifulanam77;2025-12-08T13:07:59Z
Kalo beli emas di dana gimana tu legal ga ya?;@SitiRisma-vr2il;2025-12-07T05:40:35Z
Melvin mirip sekali sama Patrick Waluyo;@epoernomo;2025-12-01T20:59:59Z
Saya PAXG /XAUT;@didikdh1987;2025-11-28T02:14:31Z
Kalau nabung emas bagusan pake uang dingin biar gak bentar-bentar kita jual emasnya pas ada kebutuhan.;@leonardprihantorosinaga1817;2025-11-27T13:53:24Z
Tetep emas kuasai fisiknya ... Kl emas digital yang menguasai fisiknya siapa Kaka ?;@rilaksaplayground1461;2025-11-23T10:34:05Z
Saya baru akan coba tapi nonton dulu referensi di channel ini 👍;@AhmadIqraNagara;2025-11-20T15:15:17Z
Saya nabung mas 20 gram Di 5 tahun yg lalu sharga 850 per gram.. mau Di pakai mungkin 10 tahun lagi nunggu anak kuliah;@dorisa1214;2025-11-19T14:14:27Z
Udh males skrg sm mas fisik kalo jual suka dimainin sm cici tokonya bukanya untung malah minus 😢;@olivechannel22;2025-11-15T09:21:37Z
info dong buat beli emas fisik di apk ap yg bagus;@Alfin86-x7u;2025-11-15T07:20:52Z
saya beli 1 gram emas digital di pegadaian langsung mines 300rb karena harga beli mahal dari pada harga jual;@JiromBeats2;2025-11-14T08:57:58Z
Pegadaian berarti gak legal ya bang soalnya gak ada di website bappebti ???;@yustiyanahabsari3540;2025-11-14T07:35:46Z
Saya baru 5 bulan itupun baru naek sekarang karna sering dipantau;@fahmimohamadrivai6359;2025-11-12T09:58:54Z
Saya lebih enak pake mas Digital bisa di pantau grafiknya di jual kapan pun enak tanpa di bohong²in sama penjual😂;@Drabocalm;2025-11-11T12:48:15Z
izin bertanya, jika beli emas di aplikasi dana itu aman ga? tolong di jawab🙏;@Risky-wz3gz;2025-11-10T12:21:35Z
Aku masih jadul cara berfikir nya, tetap aja aku harus pegang fisik nya. Seperti halnya deposito jg begitu. Tetep aja harus pegang fisik ... Wkwkwk .;@MawarPutih-e7f;2025-11-10T00:08:14Z
FOLOW kakak;@topekkamali6969;2025-11-09T10:09:39Z
Aku di dana baru 1 minggu udah naik 0,6%😅;@NungSleep;2025-11-08T12:44:15Z
Sy menabung tabungan emas shopee kerjasama treasury, penggunaannya sangat mudah dan simpel ibarat menabung tanpa khwtr terkena inflasi, aman dan mudah di cairkan;@judawirbariah2676;2025-11-07T17:19:48Z
"selama ini transaksi dengan bsi dan pegadaian tidak pernah kecewa. kalau aplikasi biasanya buat beli dari &quot;recehan&quot; sisa budgeting sih. kalau sudah 5 gr difisikkan. kalau cicil emas bagusan offline lah datang ke kantornya, auto debet tiap bulan. jadi kaya nabung, tapi ini bentuknya emas. so far so good.";@buatkerja-g5w;2025-11-07T02:49:14Z
"Udah jalan 5 tahun pakai tabungan emas digital di pegadaian. Nabung bukan krna nyari untung, tapi untuk menghindari inflasi aja. Target sebisanya 10gr pertahun. Nabung emas cara saya ya uang yg dipakai adalah uang yg diperkirakan &quot;bebas&quot; untuk minimal 2-3 tahun kedepan, diluar dari kebutuhan pokok dan harian serta dana2 darurat.<br>Sejauh ini masih berjalan lancar aja.<br><br>Kenapa pilih digital dan bukannya fisik? Soalnya saya nomaden. Sering pindah2 tempat tinggal dan kerja. Maunya ingin yg emas fisik, tapi tak sampai hati mengingat sifat saya yang lumayan teledor.";@justbecause2921;2025-11-05T12:54:51Z
Emas digital ga harus si cetak fisik ko?<br>Jd bisa dijual ndk langsung tanpa cetak fisik?tq;@Bohinyess;2025-11-04T15:49:33Z
Agak mirip elon musk selewat pak wkwkwk;@icancal;2025-11-03T19:23:59Z
"adek&#39;kaum milenial harus cerdas ya dek , harus pakai logika sebelum menyesal , sampai sini paham kan.";@LittleBee-k3n;2025-11-03T19:15:38Z
Arwanatoto tempat cuan cepat, Modal receh, hasilnya lebat!🍀🍀🍀🍀;@LongKim_5811;2025-11-03T05:52:06Z
Arwanatoto tempatnya nyata, Main sebentar, saldo nambah nyata!🥂🥂🥂🥂;@An.Viên.Mạnh;2025-11-03T05:52:02Z
Bng tapi saya di aplikasi pluang sprednya sekarang jauh banget sampe 9.2%. Gimana ya?<br><br>Dulu waktu masih awal tahun 2025 masih stabil 3.5-4%. Sekarang 9.2%;@agungprasetyo9984;2025-11-01T12:04:49Z
Terimakasih kho infonya sukses selalu;@sujadijamal8070;2025-10-31T08:51:03Z
seandainya suatu saat semua nasabah mau minta emas fisiknya, apakah perusahaan sanggup menyediakan?;@bobbysaputra4real;2025-10-30T08:40:45Z
Beli emas itu tunai dalam satu majelis akad dan tidak boleh bertangguh;@SulaksanaNanda;2025-10-29T23:48:45Z
udah maen emas digital selama 3 thun... simple dan aman;@dimaswibowo6011;2025-10-29T23:23:14Z
Lebih aman di pegadaian karna ada kantor cabang nya klo ada apa apa kita bisa kunjungi;@Hartoyo-Car;2025-10-29T15:29:26Z
kalau beli emas di aplikasi Dana aman gak sih?;@bumblebee119;2025-10-29T00:44:25Z
Saya beli Dinaran mas digital;@dennyirawan8725;2025-10-27T14:24:44Z
mau tanya dong. apk dana aman ga ya buat beli emas digital. ada yg pernah beli di dana?;@fitriadc5892;2025-10-27T00:40:02Z
Akun saham di bank terkenal aja biss ilang di bobol.uang di bank juga bisa ilang...ngeri sih bentuk digital;@wisatakuliner122;2025-10-26T22:20:55Z
Bri emas kerja sama dengan pegadaianya, lebih ok oplikasi bri apa bsi kak utk tabungan emas nya;@ny.yesipradhanafahriza1776;2025-10-24T05:45:21Z
Saya di gital sudah untung 30 juta rupiah 😂😂😂;@muhammadsaidsaid129;2025-10-24T04:11:03Z
Maaf kak,tanya tentang aplikasi dinaran itu apakah aman? Karna istriku dah keracunan saudara🙏,  mohon dijawan;@wongsepele1719;2025-10-23T23:06:05Z
Sy baru memulai Investasi emas dan etf,, mudahan bisa continue terus..aamiin;@random_85;2025-10-23T12:06:09Z
Aplikasi rawan sekali hilang;@Agusman-f4r;2025-10-23T04:10:12Z
Lebih aman mas pisik jelas lihat emasnya Suai kemampuan aja beli emasnya;@Agusman-f4r;2025-10-23T04:09:41Z
Alhmdulillah tahun 2024 udah mulai nabung emas digital di pegadaian... Walaupun telat menabung tp tetap semangat menuju Indonesia emas 😁👍;@sangkelatalquds9227;2025-10-21T10:24:08Z
kalau hukum perdagangan syariah harus ada fisik emasnya sedangkan digital itu emasnya halu … so sebaiknya harus ada fisiknya;@lundyfirdiansyah3374;2025-10-21T09:51:20Z
saya lebih suka emas fisik, klo dah ngumpul, tuker ke tanah. Pernah pake digital, gk sukanya ada potongan admin setiap beli dan biaya /tahun, mengendap 0.1gr.;@renreline6039;2025-10-21T08:20:33Z
Lebih untung emas digital lah. Potongan ga banyak cuma 2-3 persen klo fisik nya bisa di atas 6 persen;@unboxingnew3612;2025-10-21T06:09:20Z
saya udah pakai aplikasi emas digital,<br><br>aplikasi DINARAN sejak 2021, harga emas waktu itu 950rb-an per gram...<br><br>dan smpai skrg menjelang akhir 2025 masih pakai aplikasi DINARAN...<br>😅;@rhozyakhmed4121;2025-10-20T18:08:29Z
Saya lebih suka nabung XAUT di Bitget, OKX, atau Binance, baru mulai.;@Westpro_99;2025-10-20T10:16:52Z
sudah pernah pakai pluang, pegadaian dan saat ini masih punya aset di treasury;@Blitar_Keren;2025-10-20T03:22:45Z
Risiko emas digital,saat internet di seluruh dunia mati total;@baradurhaka;2025-10-19T17:56:11Z
Yang udh pasti investasi emas digital di pegadaian aja, yg udh past legal.. bisa di buy back, cetak fisik bs juga di gadein<br><br>Tanpa ribet tring pegadaian. Danantara;@herman3781;2025-10-19T08:40:01Z
"Mulai nabung emas digital pegadaian sejak emas fisik Antam mulai sulit didapat &amp; harus antri. Emas digital mudah dibeli &amp; mudah dijual gak perlu antri &amp; ribet. Kalau mau cetak emas fisiknya juga mudah lewat aplikasi tring pegadaian hanya harus sabar nunggu untuk bisa dapat emas fisik. Terakhir Agustus 2025 saya antri 2 bulan untuk cetak emas fisik tabungan emas pegadaian.";@CrewjoGarden;2025-10-19T05:10:24Z
Emas digital gak ribet kalo jual/beli tinggal pake hp lgsg kelar...ga harus panas2an keluar rumah,pake motor/mobil,pake jilbab/topi...;@arini5174;2025-10-18T23:03:37Z
pengen jg ni...hars cba tdk ad kata trlmbat😊;@RemonUlunorolalengUlunorolalen;2025-10-18T22:22:26Z
Belum pernah, bagimana keamanan dan keuntungannyq;@DRdtpadukotuan;2025-10-17T23:18:16Z
Treasury aman ga ya?;@muhammadfadholimunthaha4053;2025-10-17T17:26:31Z
Apakah investasi di dana aman min?;@Pratamaaldo-b7k;2025-10-17T13:30:36Z
Bahas e-mas di BSi dong bang;@karimachan1160;2025-10-17T10:09:00Z
Lebih aman di indogold, dana atau tring by pegadaian;@Nakiyagamingyt;2025-10-17T02:53:06Z
Sy lebih suka emas digital, cuma takutnya perusaan nya tutup, tapi semoga tidak tutup, Krn belinya lebih mudah tampang;@maiyajutek2716;2025-10-17T01:37:57Z
digital ada biaya perawatan kok aneh tdk ada fisik tapi ada biaya perawatan .;@ikilaptopservicelaptopmala2347;2025-10-16T21:24:25Z
Saya sudah mulai Dari 3 bulan lalu , saat harga sekitar 1.8 jt / bulan. Telat sih memang tau gitu saya deposit ke emas sejak 5 taun lalu. Lebih baik gak usah nunggu turun kalo udah punya uang lebih.;@endrotom7723;2025-10-16T14:24:49Z
Mas digital;@cahayadanzahwa-r3w;2025-10-16T08:04:19Z
Penipuan,,,,,krn ga pegang emas aslinya,.........hati2 waspada....;@DanuWijaya-t3l;2025-10-16T01:36:36Z
Utk skrg digital aja karn fisik capek...cpt banget berubahhya;@nyiradentriumiati1184;2025-10-15T23:17:02Z
Emas kok digital , orang kalo beli emas itu ya ada barangnya , minimal gawe ngantem kirik kaing kaing ..;@Ether2025-u3u;2025-10-15T08:48:18Z
Aplikasi dana ada emas fisiknya juga gk;@Pratu.X;2025-10-15T04:48:45Z
lebih fleksible kepemilikan emas lebih mudah dengan gramasi bebas 10rb pun dpt. <br>klo beli fisik malah belum tentu dapat. . . <br>krn yg bikin langka itu krn kepemilikan digital itu. . . sudah ditimbun jadi sangat sedikit yg di jual secara fisik. . . <br>gorwng menggoreng.;@10jt.LAPANGANKERJA;2025-10-14T09:59:46Z
Beli emas bersamaan dengan uang nya ,,lepas uang pegang emas , di satu tempat di satu waktu ,,jika tidak maka akan menjadi riba,,,,,,,ingat itu;@masudsubchan821;2025-10-14T07:56:28Z
Iming iming pindah emas asli ke emas digital itu sama seperi iming iming saat pindah dari emas ke bon utang yang sekarang disebut uang. Iming iming lebih gampang, lebih aman taunya zonk. Bank ga nyimpen emas sejumlah bon yang mereka keluarkan. Akhirnya nilai bon terus devaluasi😂;@babasbebas951;2025-10-14T00:08:38Z
Awalnya sya rugi 10% emas digital. Tapi sekarang ini sudah untung 30%;@ikrarkhyra1456;2025-10-13T15:19:21Z
